iter	Passed	Remaining
178	458	2102
179	459	2094
180	461	2088
181	463	2081
182	464	2075
183	466	2069
184	468	2063
185	469	2055
186	471	2048
187	472	2040
188	473	2032
189	475	2026
190	476	2019
191	478	2013
192	480	2008
193	481	2002
194	483	1996
195	485	1992
196	487	1987
197	488	1980
198	490	1974
199	492	1968
200	493	1962
201	495	1957
202	497	1953
203	499	1947
204	500	1941
205	502	1935
206	503	1928
207	504	1922
208	506	1916
209	508	1911
210	509	1906
211	511	1900
212	512	1895
213	514	1889
214	515	1882
215	516	1876
216	518	1870
217	519	1864
218	521	1858
219	522	1851
220	523	1846
221	525	1842
222	527	1836
223	528	1830
224	529	1824
225	531	1819
226	532	1814
227	534	1809
228	535	1803
229	536	1797
230	538	1791
231	539	1787
232	541	1783
233	543	1778
234	544	1773
235	546	1767
236	547	1762
237	548	1756
238	550	1751
239	551	1746
240	553	1742
241	554	1737
242	556	1732
243	557	1727
244	558	1722
245	560	1717
246	561	1711
247	562	1706
248	563	1700
249	565	1695
250	566	1689
251	567	1684
252	568	1679
253	570	1674
254	571	1669
255	572	1664
256	574	1659
257	575	1655
258	577	1651
259	578	1645
260	579	1640
261	580	1635
262	582	1630
263	583	1626
264	584	1622
265	586	1617
266	587	1613
267	588	1608
268	590	1603
269	591	1598
270	592	1593
271	593	1588
272	594	1584
273	596	1579
274	597	1575
275	598	1571
276	600	1567
277	601	1562
278	603	1558
279	604	1554
280	605	1550
281	607	1545
282	608	1541
283	609	1536
284	610	1532
285	612	1528
286	613	1524
287	615	1521
288	617	1518
289	618	1514
290	619	1510
291	621	1505
292	622	1501
293	623	1497
294	624	1493
295	625	1488
296	627	1484
297	629	1482
298	630	1478
299	631	1474
300	633	1470
301	634	1466
302	635	1462
303	637	1458
304	638	1454
305	639	1450
306	640	1446
307	642	1442
308	643	1440
309	645	1436
310	646	1432
311	648	1429
312	649	1425
313	650	1421
314	651	1417
315	653	1413
316	654	1409
317	655	1406
318	657	1402
319	658	1399
320	659	1396
321	661	1392
322	662	1388
323	663	1384
324	664	1380
325	666	1377
326	667	1373
327	668	1369
328	669	1365
329	670	1361
330	672	1359
331	674	1356
332	675	1353
333	677	1350
334	678	1347
335	679	1343
336	681	1340
337	682	1336
338	683	1332
339	684	1329
340	686	1325
341	687	1322
342	688	1319
343	690	1316
344	691	1312
345	692	1309
346	694	1306
347	695	1302
348	696	1299
349	697	1295
350	699	1292
351	700	1289
352	701	1286
353	703	1283
354	704	1279
355	705	1276
356	706	1272
357	708	1269
358	709	1266
359	710	1262
360	711	1259
361	713	1256
362	714	1253
363	716	1251
364	717	1248
365	718	1244
366	719	1241
367	721	1238
368	722	1235
369	723	1231
370	724	1228
371	726	1226
372	727	1222
373	728	1219
374	730	1217
375	731	1214
376	733	1211
377	734	1208
378	735	1205
379	736	1202
380	738	1199
381	739	1196
382	740	1193
383	742	1190
384	743	1187
385	744	1184
386	745	1181
387	747	1178
388	748	1175
389	749	1172
390	750	1169
391	751	1166
392	753	1163
393	754	1160
394	755	1157
395	756	1154
396	757	1151
397	759	1148
398	760	1145
399	761	1142
400	763	1139
401	764	1136
402	765	1133
403	766	1131
404	768	1128
405	769	1125
406	770	1122
407	771	1119
408	773	1117
409	774	1114
410	775	1111
411	776	1108
412	777	1105
413	778	1102
414	780	1099
415	781	1096
416	782	1094
417	784	1091
418	785	1089
419	787	1086
420	788	1084
421	790	1082
422	791	1080
423	793	1077
424	794	1075
425	796	1072
426	797	1070
427	798	1067
428	800	1065
429	801	1062
430	802	1059
431	804	1057
432	805	1054
433	806	1052
434	808	1049
435	809	1046
436	810	1044
437	812	1042
438	813	1039
439	814	1036
440	815	1034
441	817	1031
442	818	1028
443	819	1026
444	820	1023
445	821	1020
446	823	1018
447	824	1015
448	825	1013
449	827	1011
450	828	1008
451	829	1005
452	830	1003
453	832	1000
454	833	998
